customer_id,recency_days,frequency,monetary_total,cluster
0000ebb3d73347cb88df6333,539,1,18214236,1
0001b10bb93846f19e675b90,1211,1,3388240,1
00032049078846ad8cca9181,707,1,6218827,1
00035dcb5cb64cd3a5003b9b,797,1,63452922,2
0007936b4a74468398e5882f,888,1,52576742,2
00088132115b4f40a568ddb3,350,1,17255315,1
0009b5f9a69b4bd588755649,543,1,55416259,2
000aaf737b644259a09123ff,1117,1,41398031,2
000ac749fda44f41a805f30c,873,1,15855675,1
000acdcf9b374f579bfb9752,307,1,77841337,2
000bd732c8894761b1944bcd,242,1,33286428,2
000bdc8da9ed4e7cbc6d2d98,132,1,18195878,4
000d25390be04b45a28fdc8a,520,1,35125040,2
000ea44af52d4bc39a08d832,1324,1,61336810,2
000f539d2c054b8e86ff002a,1484,1,9624929,1
000ffea5efe34155838137ba,1476,1,37813826,2
00115bb9ed9f4f1b962f27d4,585,1,30148383,2
0011c8728f774c289bd48799,1502,1,36471789,2
0013938592cf45d297c89ab7,980,1,20746436,1
0013cc0bfd27461e9a80054b,1470,1,15687758,1
00149552a65f4f94827ebb87,794,1,8438976,1
00151e21020242e58b7f5c5c,94,1,23844061,4
0015b226c0cf49149e156d5a,542,1,6655180,1
0015d0764af64713872d4174,30,1,147285672,4
0015fa5ceca74375bfa0b353,491,1,56020313,2
0016bf92a8bf406c85145fe3,563,1,24242532,2
0016d9026b46453db9eb5f14,1472,1,3247182,1
001850f307f548c7a509cd7e,382,1,23308447,2
0018586d1d4a4176993d2aa9,33,1,29726537,4
001c5534364c4881b97c1d9c,470,1,11794411,1
001d782465e549019cf5346b,269,2,43246708,3
001d9483dc584df0bda9c207,692,1,9596047,1
001e20fc5108496badeafc24,866,1,54312241,2
001f452b1c724ccd916a212a,615,1,16434420,1
00208a1f43ff49d0adeb5d16,264,1,45981756,2
0020e7c6a680421f970a6ee7,550,1,14017857,1
0021df6785ed4f64b75946e3,706,1,38168685,2
00229863d9ce4816822d477a,610,1,63385637,2
00244812f2a1492690ec6709,1478,1,48128027,2
00250b7e566043a19a366ca3,29,2,111316760,3
00258054b10148a0be26f0d0,1495,1,11812348,1
0025bf1d35ab4bdcb0e61b75,46,1,17155581,4
0026153e15e54afa8a9cc057,120,1,23515744,4
00266e376d864eb38a9ffbef,363,1,18573997,1
002ae8507f104002b3740cfc,573,1,25616515,2
002b1b6cccbe4e2f83e464bd,609,1,44101392,2
002c085e34f24859ad47dff0,717,1,19158372,1
002caee010b5444fa4b7cd16,458,1,171902352,2
002f4b055ae841c19ee9b2e2,384,1,38648238,2
0031097ed80546cd9d9bef7f,260,1,225881365,2
0033de70f1bd4e0cb39e6968,41,1,144975968,4
0035fcfeb8384ccfa1f244e5,607,1,48844691,2
0037b1cae7a149d68ec1407e,311,1,51403479,2
0038b3fb81304296b95b666a,534,1,22260132,1
003cd862e7ba4125a1e9597c,89,1,36151250,4
003cdc27df0c43b4b5a4b48c,1008,1,15237499,1
003df41966a74b24a1d51cc3,379,1,108680644,2
003e6f562c8d4a7bb09f9253,1220,1,45070859,2
004000f9257244e2a046e260,146,1,58992884,4
004027b5d46c4b7ea3d8efe5,211,1,44382902,2
004032b62b754b47af922f28,757,1,8130599,1
0044ad346b3b45c893b49cd4,284,2,50088694,3
0045bd3b087044539e47751a,338,1,20688272,1
00469b43cf9d4529b301dffc,1104,1,48236341,2
0046fb80eb1d4ec7be07c838,221,1,53152662,2
004b0d05185b4a119f753dd4,183,1,10831476,1
004b4ddd61a54a0a9e7b8e7c,257,1,22945264,1
004bc862afa64384b6e6e57a,114,3,64771161,0
004bd2599e1a480190e5a37e,1118,1,37913635,2
004eac9a68a142b1b74d140f,1242,1,39262857,2
0052cb73c633499985e47d95,783,1,106333812,2
0053dec8e252413d9f683bd9,849,1,54835894,2
00553984fa6f47d796c38869,815,1,50207435,2
005548bb9896441f98e3e2a9,237,1,13389489,1
0055c7e90d994dc4ade4a728,942,1,27737191,2
0055f02a7ce44f14997bf31c,1613,1,41172514,2
0057a276b3f2468292cfc32b,723,1,14277529,1
005864b4738f40ec84f8960b,202,1,61907539,2
0058cee35f0a440e9c958de3,44,1,12771261,4
00596dce21d34856aabce82f,597,1,32040290,2
00597fc87ef549d8a71baca0,947,1,34021539,2
005c841a04454f10988bc989,7,1,38377390,4
005ca6fc0c314091ac7a3e84,7,2,51557276,3
005fc279e7424707a27f331f,189,1,58506635,2
006115e890814d91acc87d9b,891,1,18293998,1
00629de22540436abed93e74,919,1,14917282,1
0063381a69214d739bfd8b4b,1039,1,33296989,2
00645948bf5745f88af5c142,225,1,61456167,2
0065054d95594e1680f740ee,519,1,319425917,2
0066153541bf421ab277284c,756,1,40796859,2
0067f8c6632e4d7c918f066a,1399,1,21468008,2
006949ef55974c468cd013a2,971,1,19965948,1
00698681071a45188c4af1bb,86,1,23775220,4
0069d641acb140ad82abee62,118,4,335316289,0
006b7c7f92c94b899ccfa018,98,1,54765807,4
006c57a926114cecb1a5c344,391,1,19727473,1
006cbf45730740a093d23a77,999,1,8133578,1
006fb23e612f4e3fa9736ef9,165,1,34725732,4
00704704ee3d4c5c9b08a8b9,729,1,26574933,2
007065d0e5704be7bb955d28,622,1,4828122,1
00719ec5c4b7401f892fbccf,1515,1,38976606,2
0071ad98ae8c4d3d929bf466,556,1,51523623,2
00722f7e41cb44b7b59c7dc1,99,1,10147058,1
0072e60cd790496ab0e1f855,406,1,40233560,2
007377f730c04b99b38876c7,346,1,18246384,1
0074b4c6065747c98de3a3ad,474,1,17649299,1
0076dbc1f3fa4304b98e87e6,1284,1,10330071,1
0077427a2f9444d680a99948,607,1,191976762,2
00776dc4969b4b0a842d4f7b,818,1,16206830,1
007868c109fc4e3b832fff61,1448,1,21724288,2
0079529cc16a47d9ae6ddb1a,120,1,4043891,1
0079ff2e1a074d06a6918892,483,1,6885523,1
007a43ccb32544789ead7c0e,441,1,62898083,2
007b39c5144e41178c0f0b46,605,1,38598621,2
007c2222b34f407996e33650,1038,1,19986447,1
007c9d6834194153b494a7e3,4,3,127797616,0
007db451b4a340339e12899a,274,1,20128641,1
007e047fa3604091b9fe77a4,21,1,40898017,4
007e72427ea940c6be38850c,898,1,8580947,1
0080485f65c74c47a8695a60,912,1,353426204,2
0080e8af588d4f25b43ec955,729,1,31847354,2
00831761c1734ea1b0d10eb1,257,1,22932905,1
0083cb0f0bc6492183a629f2,81,1,62124157,4
00861481d98e46beb80d2474,1160,1,198024831,2
00877e9a17df4eaaa2c69a8a,9,1,14198397,4
0088eb52c58646b88ae8d11a,21,1,45650793,4
008cffb8d96e4b95ac22cd93,101,1,64480915,4
008d452e45a64e538048a9e5,297,1,51152621,2
008da19be11140f5a9d159b8,775,1,35209072,2
008dcdfc4f324cdaaaf466c8,1048,1,36313917,2
008e818f7f0b43a387925e19,48,1,13727453,4
008f33f2838d47e2bfbeb56e,1251,1,44281387,2
0090524020d24f9c8c0a3d26,613,2,47840654,3
009204f69230485d97007332,307,1,4428546,1
0092e62bd468449cb687c64c,360,1,34139064,2
00935812391a416abccebbf0,40,1,60196401,4
00945c930fc8444a925c0c70,1173,1,8827492,1
0098284f497249a1b7186547,228,2,44517284,3
00993c99c5dd4960ad82265e,559,1,7612538,1
009ba7c3ec2a408fb5530403,620,1,39005336,2
00a054a3d93641338419ef0b,250,1,59004490,2
00a0be9eafad4006a2d15293,76,3,231888040,0
00a1b21bfd034bf99363dc03,1008,1,59358981,2
00a2103ac9d54ea0813bb87b,83,1,28172612,4
00a2db4b451e446287b8274f,1570,1,14908801,1
00a2eaeeb0b64c1aaaf65b7e,47,1,52166074,4
00a383305903469d8df411d5,26,1,35945940,4
00a67a49cc4d479b85d3401c,4,1,42940327,4
00a6d2a7cdd0463280fc30b8,311,1,34446913,2
00a87b2a18d842beac7e1ad9,908,1,50215828,2
00a9d06537f548029efda136,77,3,66162862,0
00aa3a48ccce478686010d2c,481,1,27814645,2
00aaed44c7f44d71b636f662,486,1,36540867,2
00ab4468b0ba479a8d4f1c33,386,1,14068147,1
00abaaf55210494bb099b3b0,180,1,45592923,2
00af6f3e1cde4146ac10f329,308,1,4277879,1
00b0cc29bddc4d939e6d0a0d,41,1,47675477,4
00b0d40c6172486e88a965cd,496,1,26355835,2
00b3edf58d804ed38819b42b,1084,1,208234828,2
00b3fa15f4c34e938f582026,784,1,8352250,1
00b4aa817fd5478798aabe8c,521,1,32772317,2
00b4ab3b69ad4ed8ab7e6a1a,153,2,41162387,3
00b5c4989467421e9e0fc5f6,758,1,42710368,2
00b6ac14f3d74131afe4b188,698,1,136648608,2
00b6fb8aece5429ba93ed1a4,418,1,56399366,2
00b749d25421426cac36cef9,851,1,45779152,2
00beaa5b16664746a8dae8ed,1475,1,7372509,1
00beb0e03b11479fa80f4248,105,1,3965569,1
00c184c6dc03477f899b9850,142,1,32983475,4
00c21c5ee50e44b894bf6fbe,220,2,81340791,3
00c2c8f0dba94933b84839fb,264,1,5477797,1
00c2f9f487ee49c68850897e,380,1,26779516,2
00c50dbca9c54fc98ffacd35,1037,1,59684881,2
00c57afa99804d7b843e16ed,163,1,55416259,2
00c69d35bce048d482bea222,45,2,72816534,3
00c73495c45041aeb092f2d8,65,1,208768944,4
00c78a925e5548b984e7c202,415,1,61787944,2
00c7e381071b401da2712b41,1449,1,5114511,1
00c7f961f6a9463481f15381,1266,1,253976021,2
00c8c8fd481f45499f38fdfa,612,1,54653857,2
00c8ca18c5e84e4aa8b3026d,674,1,42465985,2
00c96f8490af4d03bdeb0a3b,562,1,60760918,2
00cc89c8bcbc4bdcaaa24fed,1505,1,37150077,2
00cc9069a8af431c8825caf9,16,1,44747103,4
00ccc2d848b24d3abe8c8470,397,1,38715844,2
00cd7263fc3f4732986b7412,64,1,35052704,4
00cf6a54e126412390d88b4e,1386,1,6988284,1
00d3337478d74e22800acc06,363,1,189133767,2
00d4259a45bb4b9880548de7,589,1,18082080,1
00d4c60ae4e2417792260a45,33,1,24273298,4
00d684beffe04dd1a827938b,676,1,62130074,2
00d79bbf313c41a190b60004,9,1,48250648,4
00d94220d7dd4c3a85fe37de,767,1,50332549,2
00d94594ef51467999bc1643,59,1,12474285,4
00d975ea065d4ee59a9a3a8b,205,3,132297865,0
00da02fa0caa45989f857b1c,492,1,20122264,1
00dab56facc949f5b2684ca0,200,1,14709054,1
00db777579b04ddea002f39d,298,1,4287723,1
00dc26705b254eda8f4c9a21,1178,1,23550800,2
00dc394917384156af2e49df,729,1,45672319,2
00dd817515e543a0a58f0cde,214,1,16080789,1
00dedf261bda44fe9045c763,296,1,48473089,2
00e252feedb342c180ee51b6,514,1,14684449,1
00e34482937e45fb86e22769,826,1,38816108,2
00e46e2d0ab34b25ada396b0,832,1,21414325,1
00e4e4861f254898b3ff6463,16,1,51274293,4
00e528800b9b4208926edea4,883,1,33286428,2
00e590f2bd284d1289dac45a,757,1,40184070,2
00e8fdca37164cf89cfac3bc,276,2,32290825,3
00ea0bf9a20146459d3a0168,1635,1,49834165,2
00ea8be00b4b459c815ba056,79,1,25055592,4
00eb62f136b3437581d432ee,1267,1,28789146,2
00ed7057704548fd87d30c3e,1143,1,347108876,2
00ef629d8a514a6b8a4f8d8f,1133,1,40731791,2
00efdfa9109e4e8f91e91867,23,1,47084202,4
00f093fe00ef47eea2fac8c5,1497,1,46347247,2
00f10a82758f48db88eeab8d,54,1,28710035,4
00f212c01ef04f9aa840385e,1018,1,60699096,2
00f29dae827b4caa82c4032f,1295,1,38303800,2
00f37a4659e84815bfba4c35,213,1,56331746,2
00f574b622044866a51171cb,170,1,39428198,4
00f82f54122a42829da1686b,1032,1,47331958,2
00f88a131f5043168f8c6490,31,1,5704280,4
00f9954a5a564e6396c4f85e,472,1,61646842,2
00f9f386374c4ebb88e35db1,31,1,62591040,4
00facab8ef714d9e9f4fe068,819,1,16720674,1
00fe1667e21b4e8ca51ef487,34,1,43993593,4
00fef57659044be0969671ba,22,3,58535807,0
01009f0c655d445e8ceb1921,575,1,38270159,2
010230f9023b4b0cb33f1de4,962,1,60862936,2
0102f6c81a854542b915a276,176,4,503617818,0
01038032730e4b39b37c2059,486,1,31263976,2
0105456533a445439d2edca2,459,1,11720740,1
0106124df71b4269a25d0e64,805,1,31894910,2
01067bc1e22a46b9a35e4692,1499,1,9339300,1
010923b0ba3d4a3fbd139225,395,1,18746182,1
010b2d1788024276b7e46ed4,268,1,6308712,1
010be0bdd67042f5a89aa3a1,1138,1,11178603,1
010ea9fe4e8a4dc9b5f14af9,1122,1,11289052,1
010f3d9810c940a8a5bfbe21,164,1,30353537,4
01121928939341c3a4cdc883,642,1,59361563,2
01123b36b26c45ea92dcbe3a,711,1,11298905,1
011572d134944276ad43b5a6,685,1,10338032,1
01168be0f8af49d581c973cf,349,1,25963792,2
0116d0544e05451fb918912d,118,1,38436611,4
01183e3e30ae43858d069d17,28,1,14730703,4
01191ab29a7541fbbaf291d8,570,1,48030105,2
0119adac49794bae9fc8002a,295,1,34340136,2
011b0bbfb77d4dc7bf7861d2,510,1,13501584,1
011d9fa91ab04b5391951b40,1646,1,18165307,1
011eb724072d47e2af4df8bc,1544,1,7814086,1
011f86f322cc4ae28a5dd028,1128,1,6610986,1
0121192f1a6a43c6ae6cf529,173,2,161154726,3
0121898f37f5433eae3c3997,326,1,7267660,1
0121b63f357c44c7ac1ea840,304,1,41851689,2
01229de7ad7c4abf8dab94be,953,1,17260357,1
0122b54551234aaab34991f8,1134,1,36506927,2
0122fa1308dc4113af14dfcf,101,1,35225195,4
0123ba8e664a423787a6905a,965,1,20150294,1
01260f058e2b445eaef1d6b6,624,1,31383278,2
0126416f9dce4fa2ba2b1f36,358,1,42485093,2
01278c3f2a764800b3d978fc,272,1,38063235,2
0127d52cbadd4483a4fbe91f,413,1,24125761,2
0129d2b11bbd4a9c9462ba25,445,1,11516509,1
012b449b900c401e99c41401,769,1,30066425,2
012cf485f15b4909a8494b14,800,1,59192110,2
012d3b41b83e4f41a65384ad,1274,1,47760116,2
012d896dda4e4dc4beea1bf9,28,4,182529352,0
012db4c2d9c04610ab251ed2,1477,1,12853036,1
012e1373a4434f2887c75bf7,1124,1,49106909,2
013205be256949009b6ac9d5,103,4,193201104,0
01320a65f8f84dc88f73938b,292,2,80526514,3
013230c92ec84e80abf8d875,394,1,28931760,2
