,forecast_monthly_idr,forecast_weekly_idr
2026-07-01,172033521102.29434,
2026-07-20,,35428402020.383484
2026-07-27,,35707719822.99779
2026-08-01,172861058267.98715,
2026-08-03,,36029367528.455154
2026-08-10,,36511702187.37607
2026-08-17,,36554791933.08403
2026-08-24,,38529314066.93988
2026-08-31,,37674676138.28688
2026-09-01,179088824255.51312,
2026-09-07,,37928119316.55377
2026-10-01,190615969714.51666,
2026-11-01,209043183680.00104,
2026-12-01,239872675687.66763,
2027-01-01,265657669757.80823,
2027-02-01,256519327043.56793,
2027-03-01,277365661889.3446,
2027-04-01,297454453546.72107,
2027-05-01,295184435103.70044,
2027-06-01,286838319343.9269,
